target	code	resolution
ADRB2	3sn6	3.2
ESR1_ago	1l2i	1.95
ESR1_ago	2b1v	1.8
ESR1_ago	2b1z	1.78
ESR1_ago	2p15	1.94
ESR1_ago	2q70	1.95
ESR1_ago	2qr9	2.0
ESR1_ago	2qse	1.85
ESR1_ago	2qzo	1.72
ESR1_ago	4ivw	2.06
ESR1_ago	4pps	1.929
ESR1_ago	5drj	2.07
ESR1_ago	5du5	2.195
ESR1_ago	5due	2.09
ESR1_ago	5dzi	1.9
ESR1_ago	5e1c	1.98
ESR1_ant	1xqc	2.05
ESR1_ant	2iok	2.4
ESR1_ant	2pog	1.84
ESR1_ant	2r6w	2.0
ESR1_ant	3dt3	2.4
ESR1_ant	5aau	1.9
ESR1_ant	5t92	2.22
ESR1_ant	5ufx	1.5503
ESR1_ant	6b0f	2.86
FEN1	5fv7	2.84
IDH1	4i3k	3.3056
IDH1	4i3l	3.292
IDH1	4umx	1.88
IDH1	4xrx	3.2
IDH1	4xs3	3.291
IDH1	5de1	2.25
IDH1	5l57	2.695
IDH1	5l58	3.04
IDH1	5lge	2.7
IDH1	5sun	2.477
IDH1	5svf	2.34
IDH1	5tqh	2.2
IDH1	6b0z	2.334
KAT2A	5h84	2.0
KAT2A	5h86	2.08
KAT2A	5mlj	1.8
MAPK1	1pme	2.0
MAPK1	3w55	3.0
MAPK1	4qp3	2.599
MAPK1	4qp4	2.2
MAPK1	4qp9	2.001
MAPK1	4zzn	1.33
MAPK1	5ax3	2.984
MAPK1	5buj	1.85
MTORC1	1fap	2.7
MTORC1	1nsg	2.2
MTORC1	2fap	2.2
MTORC1	3fap	1.85
MTORC1	4drh	2.3
MTORC1	4dri	1.45
MTORC1	4drj	1.8
MTORC1	4fap	2.8
MTORC1	4jsx	3.5
MTORC1	4jt5	3.45
MTORC1	5gpg	1.67
OPRK1	6b73	3.1
PKM2	3gqy	1.85
PKM2	3gr4	1.6
PKM2	3h6o	2.0
PKM2	3me3	1.95
PKM2	4jpg	2.33
PKM2	5x1v	2.1
PKM2	5x1w	3.0
PPARG	2p4y	2.25
PPARG	2yfe	2.0
PPARG	3b1m	1.6
PPARG	3r8a	2.41
PPARG	4ci5	1.77
PPARG	4fgy	2.84
PPARG	5tto	2.246
PPARG	5y2t	1.7
PPARG	5z5s	1.8
TP53	2vuk	1.5
TP53	3zme	1.35
TP53	4ago	1.45
TP53	4agq	1.42
TP53	5g4o	1.48
TP53	5o1i	1.4
VDR	3a2i	3.27
VDR	3a2j	2.7
ADRB2	3p0g	3.5
ADRB2	3pds	3.5
ADRB2	4lde	2.79
ADRB2	4ldl	3.1
ADRB2	4ldo	3.2
ADRB2	4qkx	3.3
ADRB2	6mxt	2.95934213525
ALDH1	4wp7	1.8
ALDH1	4wpn	1.95
ALDH1	4x4l	1.85
ALDH1	5ac2	1.85
ALDH1	5l2m	1.7
ALDH1	5l2n	1.7
ALDH1	5l2o	2.05
ALDH1	5tei	2.1
ESR1_ant	1xp1	1.8
ESR1_ant	2ayr	1.9
ESR1_ant	2iog	1.6
ESR1_ant	2ouz	2.0
ESR1_ant	5fqv	1.74
ESR1_ant	6chw	1.89
GBA	2v3d	1.96
GBA	2v3e	2.0
GBA	2xwd	2.66
GBA	2xwe	2.31
GBA	3rik	2.48
GBA	3ril	2.4
IDH1	6adg	3.0
MAPK1	2ojg	2.0
MAPK1	3sa0	1.5947
MAPK1	4qta	1.45
MAPK1	4qte	1.5
MAPK1	4xj0	2.58
MAPK1	5v62	1.9
MAPK1	6g9h	1.73
PKM2	3u2z	2.1
PKM2	4g1n	2.3
PPARG	1zgy	1.8
PPARG	2i4j	2.1
PPARG	2q5s	2.05
PPARG	3hod	2.1
PPARG	4prg	2.9
PPARG	5two	1.927
